benchmark,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem
arbitrated_top_n2_w128_d64_e0,abc,time,-1,3600.10,44632.89,8158.0,abc17,time,-1,3600.10,44637.72,7766.0,avr,unk,-1,3576.43,35081.24,21900.0,avy,time,-1,3600.11,35951.03,22169.0,btormc,time,-1,3600.09,3599.97,3473.0,camical,time,-1,3600.10,3599.98,1436.0,cosa2,time,-1,3600.10,14497.32,10552.0,nuxmv,time,-1,3600.10,14396.80,3748.0,pdtrav,time,-1,3600.09,3600.10,401.0,pono,time,-1,3600.10,18105.72,10513.0
arbitrated_top_n2_w64_d64_e0,abc,time,-1,3600.10,44432.13,3416.0,abc17,time,-1,3600.10,44435.05,3403.0,avr,unk,-1,3572.72,34769.29,21050.0,avy,time,-1,3600.12,35982.59,14292.0,btormc,time,-1,3600.09,3600.02,2829.0,camical,time,-1,3600.10,3600.03,950.0,cosa2,time,-1,3600.10,14497.81,6984.0,nuxmv,time,-1,3600.10,14397.84,2424.0,pdtrav,time,-1,3600.10,17021.27,14831.0,pono,time,-1,3600.10,18104.50,8409.0
arbitrated_top_n2_w8_d128_e0,abc,time,-1,3600.10,44224.29,4501.0,abc17,time,-1,3600.10,44225.73,4546.0,avr,unk,-1,3574.39,34654.80,16635.0,avy,time,-1,3600.10,35997.29,9354.0,btormc,time,-1,3600.10,3599.98,726.0,camical,time,-1,3600.09,3600.00,432.0,cosa2,time,-1,3600.10,14497.56,4490.0,nuxmv,time,-1,3600.10,14397.21,1928.0,pdtrav,time,-1,3600.10,20788.69,7200.0,pono,time,-1,3600.10,18102.88,3835.0
arbitrated_top_n3_w16_d128_e0,abc,time,-1,3600.10,44387.53,4000.0,abc17,time,-1,3600.11,44381.12,4121.0,avr,unk,-1,3575.85,39184.73,21492.0,avy,time,-1,3600.10,35993.16,12134.0,btormc,time,-1,3600.09,3599.88,1822.0,camical,time,-1,3600.10,3599.97,1031.0,cosa2,time,-1,3600.11,14497.42,5548.0,nuxmv,time,-1,3600.10,14397.55,2672.0,pdtrav,time,-1,3600.10,23169.81,10212.0,pono,time,-1,3600.10,18105.37,6511.0
arbitrated_top_n3_w64_d128_e0,abc,time,-1,3600.12,44487.93,8319.0,abc17,time,-1,3600.10,44489.24,8315.0,avr,unk,-1,3575.14,37580.17,28155.0,avy,time,-1,3600.10,35954.25,27610.0,btormc,time,-1,3600.09,3600.02,6053.0,camical,time,-1,3600.13,3600.00,3219.0,cosa2,time,-1,3600.10,14498.81,12087.0,nuxmv,time,-1,3600.10,14395.66,5008.0,pdtrav,time,-1,3600.10,3600.20,509.0,pono,time,-1,3600.10,18103.65,11628.0
arbitrated_top_n3_w64_d64_e0,abc,time,-1,3600.10,44608.76,5699.0,abc17,time,-1,3600.10,44616.39,5688.0,avr,unk,-1,3573.48,36406.51,25569.0,avy,time,-1,3600.10,35978.42,18582.0,btormc,time,-1,3600.09,3599.86,3683.0,camical,time,-1,3600.10,3599.98,1836.0,cosa2,time,-1,3600.10,14498.03,8577.0,nuxmv,time,-1,3600.10,14397.36,3156.0,pdtrav,time,-1,3600.10,11367.79,11034.0,pono,time,-1,3600.10,18105.84,9054.0
arbitrated_top_n3_w8_d128_e0,abc,time,-1,3600.10,44249.72,4737.0,abc17,time,-1,3600.10,44246.93,4814.0,avr,unk,-1,3574.91,40566.95,20415.0,avy,time,-1,3600.10,35996.28,10413.0,btormc,time,-1,3600.10,3600.01,1065.0,camical,time,-1,3600.09,3600.02,690.0,cosa2,time,-1,3600.10,14497.35,3756.0,nuxmv,time,-1,3600.10,14398.09,1608.0,pdtrav,time,-1,3600.09,20642.50,6323.0,pono,time,-1,3600.10,18104.76,4395.0
arbitrated_top_n4_w128_d64_e0,abc,time,-1,3600.12,44537.72,7764.0,abc17,time,-1,3600.10,44568.90,9295.0,avr,unk,-1,3575.29,41180.24,32680.0,avy,time,-1,3600.10,35951.65,32130.0,btormc,time,-1,3600.10,3600.00,6600.0,camical,time,-1,3600.20,3600.01,4711.0,cosa2,time,-1,3600.10,14497.18,16396.0,nuxmv,time,-1,3600.10,14394.53,6996.0,pdtrav,time,-1,3600.10,3600.19,653.0,pono,time,-1,3600.10,18103.24,16302.0
arbitrated_top_n4_w16_d64_e0,abc,time,-1,3600.10,44259.31,3333.0,abc17,time,-1,3600.10,44263.43,3347.0,avr,unk,-1,3573.43,38907.84,21926.0,avy,time,-1,3600.12,35995.23,10812.0,btormc,time,-1,3600.10,3599.90,1414.0,camical,time,-1,3600.10,3600.00,1142.0,cosa2,time,-1,3600.10,14497.91,4615.0,nuxmv,time,-1,3600.10,14398.11,1768.0,pdtrav,time,-1,3600.10,20402.63,7953.0,pono,time,-1,3600.10,18104.27,5327.0
arbitrated_top_n4_w8_d64_e0,abc,time,-1,3600.11,44216.62,3161.0,abc17,time,-1,3600.10,44217.69,3114.0,avr,unk,-1,3572.84,39394.93,22864.0,avy,time,-1,3600.10,35996.90,9629.0,btormc,time,-1,3600.09,3600.01,627.0,camical,time,-1,3600.10,3599.75,671.0,cosa2,time,-1,3600.10,14496.10,3227.0,nuxmv,time,-1,3600.10,14398.39,1592.0,pdtrav,time,-1,3600.10,20785.00,8466.0,pono,time,-1,3600.10,18103.88,3606.0
arbitrated_top_n5_w128_d64_e0,abc,time,-1,3600.10,44515.08,9413.0,abc17,time,-1,3600.12,44500.94,9341.0,avr,unk,-1,3575.98,41805.46,35847.0,avy,time,-1,3600.12,35944.64,36429.0,btormc,time,-1,3600.09,3599.97,9632.0,camical,time,-1,3600.23,3599.98,6024.0,cosa2,time,-1,3600.10,14498.12,17408.0,nuxmv,time,-1,3600.10,14393.30,8113.0,pdtrav,time,-1,3600.10,3600.43,765.0,pono,time,-1,3600.10,18105.23,15661.0
circular_pointer_top_w128_d128_e0,abc,time,-1,3600.10,44496.32,7203.0,abc17,time,-1,3600.11,44495.92,7224.0,avr,unk,-1,3576.44,36116.41,22114.0,avy,time,-1,3600.10,35932.69,14772.0,btormc,time,-1,3600.10,3599.97,3957.0,camical,time,-1,3600.11,3600.05,2176.0,cosa2,time,-1,3600.10,14496.58,7644.0,nuxmv,time,-1,3600.10,14395.98,5712.0,pdtrav,time,-1,3600.10,20759.84,14821.0,pono,time,-1,3600.10,18104.55,8118.0
circular_pointer_top_w128_d64_e0,abc,time,-1,3600.10,44607.29,4673.0,abc17,time,-1,3600.10,44615.55,4675.0,avr,unk,-1,3573.75,37385.86,21832.0,avy,time,-1,3600.11,35964.49,9583.0,btormc,time,-1,3600.09,3599.95,1971.0,camical,time,-1,3600.10,3599.99,1163.0,cosa2,time,-1,3600.10,14498.28,5673.0,nuxmv,time,-1,3600.10,14397.41,3762.0,pdtrav,time,-1,3600.10,21490.23,12608.0,pono,time,-1,3600.10,18103.95,5995.0
circular_pointer_top_w16_d128_e0,abc,time,-1,3600.10,44225.90,3945.0,abc17,time,-1,3600.10,44230.53,3881.0,avr,unk,-1,3573.54,35198.60,15333.0,avy,time,-1,3600.10,35995.94,9893.0,btormc,time,-1,3600.09,3599.89,941.0,camical,time,-1,3600.09,3600.00,514.0,cosa2,time,-1,3600.11,14498.37,3455.0,nuxmv,time,-1,3600.10,14397.62,1641.0,pdtrav,time,-1,3600.10,21005.19,8037.0,pono,time,-1,3600.10,18105.43,4881.0
circular_pointer_top_w64_d128_e0,abc,time,-1,3600.10,44606.92,4712.0,abc17,time,-1,3600.10,44617.81,4733.0,avr,unk,-1,3573.23,36076.73,22176.0,avy,time,-1,3600.12,35977.44,11363.0,btormc,time,-1,3600.10,3599.96,2655.0,camical,time,-1,3600.10,3600.04,1239.0,cosa2,time,-1,3600.10,14498.82,7073.0,nuxmv,time,-1,3600.10,14397.51,3649.0,pdtrav,time,-1,3600.10,24522.85,20521.0,pono,time,-1,3600.10,18105.76,6230.0
dspfilters_fastfir_second-p22,abc,time,-1,3600.10,43756.14,2896.0,abc17,time,-1,3600.10,43776.86,2851.0,avr,unk,-1,3576.13,51556.71,32652.0,avy,time,-1,3600.10,35986.84,6441.0,btormc,time,-1,3600.10,3600.01,428.0,camical,time,-1,3600.09,3600.01,384.0,cosa2,time,-1,3600.10,14497.56,1851.0,nuxmv,time,-1,3600.10,14397.83,2224.0,pdtrav,time,-1,3600.10,21235.42,15797.0,pono,time,-1,3600.10,18104.59,5013.0
